untreated volume,TSS in rajakaluve,COD in rajakaluve,BOD in rajakaluve,TSS in STPs effluent,COD in STPs effluent,BOD in STPs effluent,TSS in wetland outlet,COD in wetland outlet,BOD in wetland outlet,TSS in lake inflow,COD in lake inflow,BOD in lake inflow
2945531.52,144.97150379795457,272.8708636722363,83.29260406797798,nan,nan,nan,0.0,0.0,0.0,144.97150379795457,272.8708636722363,83.29260406797798
2945531.52,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
2945531.52,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
2945531.52,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
2945531.52,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
2945531.52,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
2945531.52,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
2945531.52,144.60309530460148,271.8477625854871,82.93842023589605,nan,nan,nan,0.0,0.0,0.0,144.60309530460148,271.8477625854871,82.93842023589605
2945531.52,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
2945531.52,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
2945531.52,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
2945531.52,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
2945531.52,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
2945531.52,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
2945531.52,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
2945531.52,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
2945531.52,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
2945531.52,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
2945531.52,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
2945531.52,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
2945531.52,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
2945531.52,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
2945531.52,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
2945531.52,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
2945531.52,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
2945531.52,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
2945531.52,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
2945531.52,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
2945531.52,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
2945531.52,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
2945531.52,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
2945531.52,190.33,4498.42,175.86,nan,nan,nan,0.0,0.0,0.0,190.32999999999998,4498.42,175.86
2945531.52,190.33,4498.42,175.86,nan,nan,nan,0.0,0.0,0.0,190.32999999999998,4498.42,175.86
2945531.52,189.55863720623304,4469.325954702188,174.79654099105304,nan,nan,nan,0.0,0.0,0.0,189.55863720623304,4469.325954702188,174.79654099105304
2945531.52,190.33,4498.42,175.86,nan,nan,nan,0.0,0.0,0.0,190.32999999999998,4498.42,175.86
2945531.52,190.33,4498.42,175.86,nan,nan,nan,0.0,0.0,0.0,190.32999999999998,4498.42,175.86
2945531.52,190.33,4498.42,175.86,nan,nan,nan,0.0,0.0,0.0,190.32999999999998,4498.42,175.86
2945531.52,190.33,4498.42,175.86,nan,nan,nan,0.0,0.0,0.0,190.32999999999998,4498.42,175.86
2945531.52,190.33,4498.42,175.86,nan,nan,nan,0.0,0.0,0.0,190.32999999999998,4498.42,175.86
2945531.52,190.33,4498.42,175.86,nan,nan,nan,0.0,0.0,0.0,190.32999999999998,4498.42,175.86
2945531.52,190.33,4498.42,175.86,nan,nan,nan,0.0,0.0,0.0,190.32999999999998,4498.42,175.86
2945531.52,189.77517225951993,4477.493163050581,175.09507257052707,nan,nan,nan,0.0,0.0,0.0,189.77517225951993,4477.493163050581,175.09507257052707
2945531.52,190.33,4498.42,175.86,nan,nan,nan,0.0,0.0,0.0,190.32999999999998,4498.42,175.86
2945531.52,190.33,4498.42,175.86,nan,nan,nan,0.0,0.0,0.0,190.32999999999998,4498.42,175.86
2945531.52,190.33,4498.42,175.86,nan,nan,nan,0.0,0.0,0.0,190.32999999999998,4498.42,175.86
2945531.52,190.33,4498.42,175.86,nan,nan,nan,0.0,0.0,0.0,190.32999999999998,4498.42,175.86
2945531.52,190.33,4498.42,175.86,nan,nan,nan,0.0,0.0,0.0,190.32999999999998,4498.42,175.86
2945531.52,190.33,4498.42,175.86,nan,nan,nan,0.0,0.0,0.0,190.32999999999998,4498.42,175.86
2945531.52,190.33,4498.42,175.86,nan,nan,nan,0.0,0.0,0.0,190.32999999999998,4498.42,175.86
2945531.52,190.33,4498.42,175.86,nan,nan,nan,0.0,0.0,0.0,190.32999999999998,4498.42,175.86
2945531.52,190.33,4498.42,175.86,nan,nan,nan,0.0,0.0,0.0,190.32999999999998,4498.42,175.86
2945531.52,190.33,4498.42,175.86,nan,nan,nan,0.0,0.0,0.0,190.32999999999998,4498.42,175.86
2945531.52,190.33,4498.42,175.86,nan,nan,nan,0.0,0.0,0.0,190.32999999999998,4498.42,175.86
2945531.52,190.33,4498.42,175.86,nan,nan,nan,0.0,0.0,0.0,190.32999999999998,4498.42,175.86
2945531.52,190.33,4498.42,175.86,nan,nan,nan,0.0,0.0,0.0,190.32999999999998,4498.42,175.86
2945531.52,190.33,4498.42,175.86,nan,nan,nan,0.0,0.0,0.0,190.32999999999998,4498.42,175.86
2945531.52,190.33,4498.42,175.86,nan,nan,nan,0.0,0.0,0.0,190.32999999999998,4498.42,175.86
2945531.52,190.33,4498.42,175.86,nan,nan,nan,0.0,0.0,0.0,190.32999999999998,4498.42,175.86
2945531.52,190.33,4498.42,175.86,nan,nan,nan,0.0,0.0,0.0,190.32999999999998,4498.42,175.86
2945531.52,212.5,178.5,84.5,nan,nan,nan,0.0,0.0,0.0,212.5,178.5,84.49999999999999
2945531.52,212.5,178.5,84.5,nan,nan,nan,0.0,0.0,0.0,212.5,178.5,84.49999999999999
2945531.52,211.18687987622354,177.5069234906207,83.83732145724831,nan,nan,nan,0.0,0.0,0.0,211.18687987622354,177.5069234906207,83.83732145724831
2945531.52,212.5,178.5,84.5,nan,nan,nan,0.0,0.0,0.0,212.5,178.5,84.49999999999999
2945531.52,212.5,178.5,84.5,nan,nan,nan,0.0,0.0,0.0,212.5,178.5,84.49999999999999
