untreated volume,TSS in rajakaluve,COD in rajakaluve,BOD in rajakaluve,TSS in STPs effluent,COD in STPs effluent,BOD in STPs effluent,TSS in wetland outlet,COD in wetland outlet,BOD in wetland outlet,TSS in lake inflow,COD in lake inflow,BOD in lake inflow
804216.96,144.97069078786495,272.86860587546664,83.29182244911128,nan,nan,nan,0.0,0.0,0.0,144.97069078786495,272.86860587546664,83.29182244911128
804216.96,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
804216.96,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
804216.96,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
804216.96,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
804216.96,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
804216.96,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
804216.96,144.59183103621635,271.8164807734925,82.92759089342911,nan,nan,nan,0.0,0.0,0.0,144.59183103621635,271.8164807734925,82.92759089342911
804216.96,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
804216.96,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
804216.96,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
804216.96,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
804216.96,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
804216.96,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
804216.96,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
804216.96,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
804216.96,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
804216.96,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
804216.96,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
804216.96,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
804216.96,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
804216.96,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
804216.96,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
804216.96,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
804216.96,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
804216.96,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
804216.96,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
804216.96,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
804216.96,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
804216.96,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
804216.96,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
804216.96,190.33,4498.42,175.86000000000004,nan,nan,nan,0.0,0.0,0.0,190.33,4498.42,175.86000000000004
804216.96,190.33,4498.42,175.86000000000004,nan,nan,nan,0.0,0.0,0.0,190.33,4498.42,175.86000000000004
804216.96,189.54425234743485,4468.783390636539,174.77670893821755,nan,nan,nan,0.0,0.0,0.0,189.54425234743485,4468.783390636539,174.77670893821755
804216.96,190.33,4498.42,175.86000000000004,nan,nan,nan,0.0,0.0,0.0,190.33,4498.42,175.86000000000004
804216.96,190.33,4498.42,175.86000000000004,nan,nan,nan,0.0,0.0,0.0,190.33,4498.42,175.86000000000004
804216.96,190.33,4498.42,175.86000000000004,nan,nan,nan,0.0,0.0,0.0,190.33,4498.42,175.86000000000004
804216.96,190.33,4498.42,175.86000000000004,nan,nan,nan,0.0,0.0,0.0,190.33,4498.42,175.86000000000004
804216.96,190.33,4498.42,175.86000000000004,nan,nan,nan,0.0,0.0,0.0,190.33,4498.42,175.86000000000004
804216.96,190.33,4498.42,175.86000000000004,nan,nan,nan,0.0,0.0,0.0,190.33,4498.42,175.86000000000004
804216.96,190.33,4498.42,175.86000000000004,nan,nan,nan,0.0,0.0,0.0,190.33,4498.42,175.86000000000004
804216.96,189.75941332758885,4476.898772080271,175.07334611668605,nan,nan,nan,0.0,0.0,0.0,189.75941332758885,4476.898772080271,175.07334611668605
804216.96,190.33,4498.42,175.86000000000004,nan,nan,nan,0.0,0.0,0.0,190.33,4498.42,175.86000000000004
804216.96,190.33,4498.42,175.86000000000004,nan,nan,nan,0.0,0.0,0.0,190.33,4498.42,175.86000000000004
804216.96,190.33,4498.42,175.86000000000004,nan,nan,nan,0.0,0.0,0.0,190.33,4498.42,175.86000000000004
804216.96,190.33,4498.42,175.86000000000004,nan,nan,nan,0.0,0.0,0.0,190.33,4498.42,175.86000000000004
804216.96,190.33,4498.42,175.86000000000004,nan,nan,nan,0.0,0.0,0.0,190.33,4498.42,175.86000000000004
804216.96,190.33,4498.42,175.86000000000004,nan,nan,nan,0.0,0.0,0.0,190.33,4498.42,175.86000000000004
804216.96,190.33,4498.42,175.86000000000004,nan,nan,nan,0.0,0.0,0.0,190.33,4498.42,175.86000000000004
804216.96,190.33,4498.42,175.86000000000004,nan,nan,nan,0.0,0.0,0.0,190.33,4498.42,175.86000000000004
804216.96,190.33,4498.42,175.86000000000004,nan,nan,nan,0.0,0.0,0.0,190.33,4498.42,175.86000000000004
804216.96,190.33,4498.42,175.86000000000004,nan,nan,nan,0.0,0.0,0.0,190.33,4498.42,175.86000000000004
804216.96,190.33,4498.42,175.86000000000004,nan,nan,nan,0.0,0.0,0.0,190.33,4498.42,175.86000000000004
804216.96,190.33,4498.42,175.86000000000004,nan,nan,nan,0.0,0.0,0.0,190.33,4498.42,175.86000000000004
804216.96,190.33,4498.42,175.86000000000004,nan,nan,nan,0.0,0.0,0.0,190.33,4498.42,175.86000000000004
804216.96,190.33,4498.42,175.86000000000004,nan,nan,nan,0.0,0.0,0.0,190.33,4498.42,175.86000000000004
804216.96,190.33,4498.42,175.86000000000004,nan,nan,nan,0.0,0.0,0.0,190.33,4498.42,175.86000000000004
804216.96,190.33,4498.42,175.86000000000004,nan,nan,nan,0.0,0.0,0.0,190.33,4498.42,175.86000000000004
804216.96,190.33,4498.42,175.86000000000004,nan,nan,nan,0.0,0.0,0.0,190.33,4498.42,175.86000000000004
804216.96,212.5,178.5,84.49999999999999,nan,nan,nan,0.0,0.0,0.0,212.5,178.5,84.49999999999999
804216.96,212.5,178.5,84.49999999999999,nan,nan,nan,0.0,0.0,0.0,212.5,178.5,84.49999999999999
804216.96,211.16524165737786,177.4905591028915,83.8264015245835,nan,nan,nan,0.0,0.0,0.0,211.16524165737786,177.4905591028915,83.8264015245835
804216.96,212.5,178.5,84.49999999999999,nan,nan,nan,0.0,0.0,0.0,212.5,178.5,84.49999999999999
804216.96,212.5,178.5,84.49999999999999,nan,nan,nan,0.0,0.0,0.0,212.5,178.5,84.49999999999999
804216.96,211.77785571789954,177.95386220959426,84.13556302896147,nan,nan,nan,0.0,0.0,0.0,211.77785571789954,177.95386220959426,84.13556302896147
804216.96,212.5,178.5,84.49999999999999,nan,nan,nan,0.0,0.0,0.0,212.5,178.5,84.49999999999999
804216.96,212.5,178.5,84.49999999999999,nan,nan,nan,0.0,0.0,0.0,212.5,178.5,84.49999999999999
804216.96,212.5,178.5,84.49999999999999,nan,nan,nan,0.0,0.0,0.0,212.5,178.5,84.49999999999999
804216.96,212.1599724879913,178.24284657693963,84.3284018864128,nan,nan,nan,0.0,0.0,0.0,212.1599724879913,178.24284657693963,84.3284018864128
804216.96,209.30215473318435,176.08155788065196,82.88617701230234,nan,nan,nan,0.0,0.0,0.0,209.30215473318435,176.08155788065196,82.88617701230235
804216.96,212.5,178.5,84.49999999999999,nan,nan,nan,0.0,0.0,0.0,212.5,178.5,84.49999999999999
804216.96,212.5,178.5,84.49999999999999,nan,nan,nan,0.0,0.0,0.0,212.5,178.5,84.49999999999999
804216.96,212.5,178.5,84.49999999999999,nan,nan,nan,0.0,0.0,0.0,212.5,178.5,84.49999999999999
804216.96,212.5,178.5,84.49999999999999,nan,nan,nan,0.0,0.0,0.0,212.5,178.5,84.49999999999999
804216.96,212.5,178.5,84.49999999999999,nan,nan,nan,0.0,0.0,0.0,212.5,178.5,84.49999999999999
804216.96,212.5,178.5,84.49999999999999,nan,nan,nan,0.0,0.0,0.0,212.5,178.5,84.49999999999999
804216.96,212.5,178.5,84.49999999999999,nan,nan,nan,0.0,0.0,0.0,212.5,178.5,84.49999999999999
804216.96,212.5,178.5,84.49999999999999,nan,nan,nan,0.0,0.0,0.0,212.5,178.5,84.49999999999999
804216.96,212.5,178.5,84.49999999999999,nan,nan,nan,0.0,0.0,0.0,212.5,178.5,84.49999999999999
804216.96,212.5,178.5,84.49999999999999,nan,nan,nan,0.0,0.0,0.0,212.5,178.5,84.49999999999999
804216.96,212.5,178.5,84.49999999999999,nan,nan,nan,0.0,0.0,0.0,212.5,178.5,84.49999999999999
804216.96,212.5,178.5,84.49999999999999,nan,nan,nan,0.0,0.0,0.0,212.5,178.5,84.49999999999999
804216.96,212.5,178.5,84.49999999999999,nan,nan,nan,0.0,0.0,0.0,212.5,178.5,84.49999999999999
