TSS,COD,BOD,nitrate,TN,ammonia,phosphate,TP
30.45,30.0245,9.998399999999998,59.157199999999996,15.743,9.688,0.867,4.77
30.45,30.0245,9.998399999999998,59.157199999999996,15.743,9.688,0.867,4.77
30.45,30.0245,9.998399999999998,59.157199999999996,15.743,9.688,0.867,4.77
30.45,30.0245,9.998399999999998,59.157199999999996,15.743,9.688,0.867,4.77
30.45,30.0245,9.998399999999998,59.157199999999996,15.743,9.688,0.867,4.77
30.45,30.0245,9.998399999999998,59.157199999999996,15.743,9.688,0.867,4.77
30.45,30.0245,9.998399999999998,59.157199999999996,15.743,9.688,0.867,4.77
30.45,30.0245,9.998399999999998,59.157199999999996,15.743,9.688,0.867,4.77
30.45,30.0245,9.998399999999998,59.157199999999996,15.743,9.688,0.867,4.77
30.45,30.0245,9.998399999999998,59.157199999999996,15.743,9.688,0.867,4.77
30.45,30.0245,9.998399999999998,59.157199999999996,15.743,9.688,0.867,4.77
30.45,30.0245,9.998399999999998,59.157199999999996,15.743,9.688,0.867,4.77
30.45,30.0245,9.998399999999998,59.157199999999996,15.743,9.688,0.867,4.77
30.45,30.0245,9.998399999999998,59.157199999999996,15.743,9.688,0.867,4.77
30.45,30.0245,9.998399999999998,59.157199999999996,15.743,9.688,0.867,4.77
30.45,30.0245,9.998399999999998,59.157199999999996,15.743,9.688,0.867,4.77
30.45,30.0245,9.998399999999998,59.157199999999996,15.743,9.688,0.867,4.77
30.45,30.0245,9.998399999999998,59.157199999999996,15.743,9.688,0.867,4.77
30.45,30.0245,9.998399999999998,59.157199999999996,15.743,9.688,0.867,4.77
30.45,30.0245,9.998399999999998,59.157199999999996,15.743,9.688,0.867,4.77
30.45,30.0245,9.998399999999998,59.157199999999996,15.743,9.688,0.867,4.77
30.45,30.0245,9.998399999999998,59.157199999999996,15.743,9.688,0.867,4.77
30.45,30.0245,9.998399999999998,59.157199999999996,15.743,9.688,0.867,4.77
30.45,30.0245,9.998399999999998,59.157199999999996,15.743,9.688,0.867,4.77
30.45,30.0245,9.998399999999998,59.157199999999996,15.743,9.688,0.867,4.77
30.45,30.0245,9.998399999999998,59.157199999999996,15.743,9.688,0.867,4.77
30.45,30.0245,9.998399999999998,59.157199999999996,15.743,9.688,0.867,4.77
30.45,30.0245,9.998399999999998,59.157199999999996,15.743,9.688,0.867,4.77
30.45,30.0245,9.998399999999998,59.157199999999996,15.743,9.688,0.867,4.77
30.45,30.0245,9.998399999999998,59.157199999999996,15.743,9.688,0.867,4.77
30.45,30.0245,9.998399999999998,59.157199999999996,15.743,9.688,0.867,4.77
39.9693,494.82620000000003,21.1032,124.86059999999999,102.07015,62.81240000000002,0.867,4.9
39.9693,494.82620000000003,21.1032,124.86059999999999,102.07015,62.81240000000002,0.867,4.9
39.9693,494.82620000000003,21.1032,124.86059999999999,102.07015,62.81240000000002,0.867,4.9
39.9693,494.82620000000003,21.1032,124.86059999999999,102.07015,62.81240000000002,0.867,4.9
39.9693,494.82620000000003,21.1032,124.86059999999999,102.07015,62.81240000000002,0.867,4.9
39.9693,494.82620000000003,21.1032,124.86059999999999,102.07015,62.81240000000002,0.867,4.9
39.9693,494.82620000000003,21.1032,124.86059999999999,102.07015,62.81240000000002,0.867,4.9
39.9693,494.82620000000003,21.1032,124.86059999999999,102.07015,62.81240000000002,0.867,4.9
39.9693,494.82620000000003,21.1032,124.86059999999999,102.07015,62.81240000000002,0.867,4.9
39.9693,494.82620000000003,21.1032,124.86059999999999,102.07015,62.81240000000002,0.867,4.9
39.9693,494.82620000000003,21.1032,124.86059999999999,102.07015,62.81240000000002,0.867,4.9
39.9693,494.82620000000003,21.1032,124.86059999999999,102.07015,62.81240000000002,0.867,4.9
39.9693,494.82620000000003,21.1032,124.86059999999999,102.07015,62.81240000000002,0.867,4.9
39.9693,494.82620000000003,21.1032,124.86059999999999,102.07015,62.81240000000002,0.867,4.9
39.9693,494.82620000000003,21.1032,124.86059999999999,102.07015,62.81240000000002,0.867,4.9
39.9693,494.82620000000003,21.1032,124.86059999999999,102.07015,62.81240000000002,0.867,4.9
39.9693,494.82620000000003,21.1032,124.86059999999999,102.07015,62.81240000000002,0.867,4.9
39.9693,494.82620000000003,21.1032,124.86059999999999,102.07015,62.81240000000002,0.867,4.9
39.9693,494.82620000000003,21.1032,124.86059999999999,102.07015,62.81240000000002,0.867,4.9
39.9693,494.82620000000003,21.1032,124.86059999999999,102.07015,62.81240000000002,0.867,4.9
39.9693,494.82620000000003,21.1032,124.86059999999999,102.07015,62.81240000000002,0.867,4.9
39.9693,494.82620000000003,21.1032,124.86059999999999,102.07015,62.81240000000002,0.867,4.9
39.9693,494.82620000000003,21.1032,124.86059999999999,102.07015,62.81240000000002,0.867,4.9
39.9693,494.82620000000003,21.1032,124.86059999999999,102.07015,62.81240000000002,0.867,4.9
39.9693,494.82620000000003,21.1032,124.86059999999999,102.07015,62.81240000000002,0.867,4.9
39.9693,494.82620000000003,21.1032,124.86059999999999,102.07015,62.81240000000002,0.867,4.9
39.9693,494.82620000000003,21.1032,124.86059999999999,102.07015,62.81240000000002,0.867,4.9
39.9693,494.82620000000003,21.1032,124.86059999999999,102.07015,62.81240000000002,0.867,4.9
44.62499999999999,19.634999999999998,10.139999999999999,59.995,5.914999999999999,3.6400000000000006,0.867,5.52
44.62499999999999,19.634999999999998,10.139999999999999,59.995,5.914999999999999,3.6400000000000006,0.867,5.52
44.62499999999999,19.634999999999998,10.139999999999999,59.995,5.914999999999999,3.6400000000000006,0.867,5.52
44.62499999999999,19.634999999999998,10.139999999999999,59.995,5.914999999999999,3.6400000000000006,0.867,5.52
44.62499999999999,19.634999999999998,10.139999999999999,59.995,5.914999999999999,3.6400000000000006,0.867,5.52
44.62499999999999,19.634999999999998,10.139999999999999,59.995,5.914999999999999,3.6400000000000006,0.867,5.52
44.62499999999999,19.634999999999998,10.139999999999999,59.995,5.914999999999999,3.6400000000000006,0.867,5.52
44.62499999999999,19.634999999999998,10.139999999999999,59.995,5.914999999999999,3.6400000000000006,0.867,5.52
44.62499999999999,19.634999999999998,10.139999999999999,59.995,5.914999999999999,3.6400000000000006,0.867,5.52
44.62499999999999,19.634999999999998,10.139999999999999,59.995,5.914999999999999,3.6400000000000006,0.867,5.52
44.62499999999999,19.634999999999998,10.139999999999999,59.995,5.914999999999999,3.6400000000000006,0.867,5.52
44.62499999999999,19.634999999999998,10.139999999999999,59.995,5.914999999999999,3.6400000000000006,0.867,5.52
