untreated volume,TSS in rajakaluve,COD in rajakaluve,BOD in rajakaluve,TSS in STPs effluent,COD in STPs effluent,BOD in STPs effluent,TSS in lake inflow,COD in lake inflow,BOD in lake inflow
2422442.88,159.99999999999997,297.43299999999994,114.433,nan,nan,nan,nan,nan,nan
2422442.88,160.0,297.433,114.433,nan,nan,nan,nan,nan,nan
2422442.88,160.0,297.433,114.433,nan,nan,nan,nan,nan,nan
2422442.88,160.0,297.433,114.433,nan,nan,nan,nan,nan,nan
2422442.88,160.0,297.433,114.433,nan,nan,nan,nan,nan,nan
2422442.88,160.0,297.433,114.433,nan,nan,nan,nan,nan,nan
2422442.88,160.0,297.433,114.433,nan,nan,nan,nan,nan,nan
2422442.88,160.0,297.433,114.43300000000002,nan,nan,nan,nan,nan,nan
2422442.88,160.0,297.433,114.433,nan,nan,nan,nan,nan,nan
2422442.88,160.0,297.433,114.433,nan,nan,nan,nan,nan,nan
2422442.88,160.0,297.433,114.433,nan,nan,nan,nan,nan,nan
2422442.88,160.0,297.433,114.433,nan,nan,nan,nan,nan,nan
2422442.88,160.0,297.433,114.433,nan,nan,nan,nan,nan,nan
2422442.88,160.0,297.433,114.433,nan,nan,nan,nan,nan,nan
2422442.88,160.0,297.433,114.433,nan,nan,nan,nan,nan,nan
2422442.88,160.0,297.433,114.433,nan,nan,nan,nan,nan,nan
2422442.88,160.0,297.433,114.433,nan,nan,nan,nan,nan,nan
2422442.88,160.0,297.433,114.433,nan,nan,nan,nan,nan,nan
2422442.88,160.0,297.433,114.433,nan,nan,nan,nan,nan,nan
2422442.88,160.0,297.433,114.433,nan,nan,nan,nan,nan,nan
2422442.88,160.0,297.433,114.433,nan,nan,nan,nan,nan,nan
2422442.88,160.0,297.433,114.433,nan,nan,nan,nan,nan,nan
2422442.88,160.0,297.433,114.433,nan,nan,nan,nan,nan,nan
2422442.88,160.0,297.433,114.433,nan,nan,nan,nan,nan,nan
2422442.88,160.0,297.433,114.433,nan,nan,nan,nan,nan,nan
2422442.88,160.0,297.433,114.433,nan,nan,nan,nan,nan,nan
2422442.88,160.0,297.433,114.433,nan,nan,nan,nan,nan,nan
2422442.88,160.0,297.433,114.433,nan,nan,nan,nan,nan,nan
2422442.88,160.0,297.433,114.433,nan,nan,nan,nan,nan,nan
2422442.88,160.0,297.433,114.433,nan,nan,nan,nan,nan,nan
2422442.88,160.0,297.433,114.433,nan,nan,nan,nan,nan,nan
2422442.88,197.5,193.75,119.99999999999999,nan,nan,nan,nan,nan,nan
2422442.88,197.5,193.75,119.99999999999999,nan,nan,nan,nan,nan,nan
2422442.88,197.2281562005833,194.50161548413118,119.95964388183059,nan,nan,nan,nan,nan,nan
2422442.88,197.5,193.75,119.99999999999999,nan,nan,nan,nan,nan,nan
2422442.88,197.5,193.75,119.99999999999999,nan,nan,nan,nan,nan,nan
2422442.88,197.5,193.75,119.99999999999999,nan,nan,nan,nan,nan,nan
2422442.88,197.5,193.75,119.99999999999999,nan,nan,nan,nan,nan,nan
2422442.88,197.5,193.75,119.99999999999999,nan,nan,nan,nan,nan,nan
2422442.88,197.5,193.75,119.99999999999999,nan,nan,nan,nan,nan,nan
2422442.88,197.5,193.75,119.99999999999999,nan,nan,nan,nan,nan,nan
2422442.88,197.29496024453348,194.31691031909423,119.96956116483513,nan,nan,nan,nan,nan,nan
2422442.88,197.5,193.75,119.99999999999999,nan,nan,nan,nan,nan,nan
2422442.88,197.5,193.75,119.99999999999999,nan,nan,nan,nan,nan,nan
2422442.88,197.5,193.75,119.99999999999999,nan,nan,nan,nan,nan,nan
2422442.88,197.5,193.75,119.99999999999999,nan,nan,nan,nan,nan,nan
2422442.88,197.5,193.75,119.99999999999999,nan,nan,nan,nan,nan,nan
2422442.88,197.5,193.75,119.99999999999999,nan,nan,nan,nan,nan,nan
2422442.88,197.5,193.75,119.99999999999999,nan,nan,nan,nan,nan,nan
2422442.88,197.5,193.75,119.99999999999999,nan,nan,nan,nan,nan,nan
2422442.88,197.5,193.75,119.99999999999999,nan,nan,nan,nan,nan,nan
2422442.88,197.5,193.75,119.99999999999999,nan,nan,nan,nan,nan,nan
2422442.88,197.5,193.75,119.99999999999999,nan,nan,nan,nan,nan,nan
2422442.88,197.5,193.75,119.99999999999999,nan,nan,nan,nan,nan,nan
2422442.88,197.5,193.75,119.99999999999999,nan,nan,nan,nan,nan,nan
2422442.88,197.5,193.75,119.99999999999999,nan,nan,nan,nan,nan,nan
2422442.88,197.5,193.75,119.99999999999999,nan,nan,nan,nan,nan,nan
2422442.88,197.5,193.75,119.99999999999999,nan,nan,nan,nan,nan,nan
2422442.88,197.5,193.75,119.99999999999999,nan,nan,nan,nan,nan,nan
2422442.88,105.0,132.5,73.0,nan,nan,nan,nan,nan,nan
2422442.88,105.0,132.5,73.0,nan,nan,nan,nan,nan,nan
2422442.88,105.56467918583994,134.1933496756025,73.42538823103465,nan,nan,nan,nan,nan,nan
2422442.88,105.0,132.5,73.0,nan,nan,nan,nan,nan,nan
2422442.88,105.0,132.5,73.0,nan,nan,nan,nan,nan,nan
2422442.88,105.31241493091589,133.43686421455914,73.23535068786614,nan,nan,nan,nan,nan,nan
2422442.88,105.0,132.5,73.0,nan,nan,nan,nan,nan,nan
2422442.88,105.0,132.5,73.0,nan,nan,nan,nan,nan,nan
2422442.88,105.0,132.5,73.0,nan,nan,nan,nan,nan,nan
2422442.88,105.15077468473527,132.95214038322624,73.11358268204793,nan,nan,nan,nan,nan,nan
2422442.88,106.35154070061253,136.55297567952957,74.01815246997235,nan,nan,nan,nan,nan,nan
2422442.88,105.0,132.5,73.0,nan,nan,nan,nan,nan,nan
2422442.88,105.0,132.5,73.0,nan,nan,nan,nan,nan,nan
2422442.88,105.0,132.5,73.0,nan,nan,nan,nan,nan,nan
2422442.88,105.0,132.5,73.0,nan,nan,nan,nan,nan,nan
2422442.88,105.0,132.5,73.0,nan,nan,nan,nan,nan,nan
2422442.88,105.0,132.5,73.0,nan,nan,nan,nan,nan,nan
2422442.88,105.0,132.5,73.0,nan,nan,nan,nan,nan,nan
2422442.88,105.0,132.5,73.0,nan,nan,nan,nan,nan,nan
2422442.88,105.0,132.5,73.0,nan,nan,nan,nan,nan,nan
2422442.88,105.0,132.5,73.0,nan,nan,nan,nan,nan,nan
2422442.88,105.0,132.5,73.0,nan,nan,nan,nan,nan,nan
2422442.88,105.0,132.5,73.0,nan,nan,nan,nan,nan,nan
2422442.88,105.0,132.5,73.0,nan,nan,nan,nan,nan,nan
2422442.88,105.0,132.5,73.0,nan,nan,nan,nan,nan,nan
2422442.88,105.0,132.5,73.0,nan,nan,nan,nan,nan,nan
2422442.88,105.0,132.5,73.0,nan,nan,nan,nan,nan,nan
2422442.88,105.0,132.5,73.0,nan,nan,nan,nan,nan,nan
2422442.88,105.0,132.5,73.0,nan,nan,nan,nan,nan,nan
2422442.88,105.0,132.5,73.0,nan,nan,nan,nan,nan,nan
2422442.88,105.0,132.5,73.0,nan,nan,nan,nan,nan,nan
2422442.88,29.999999999999996,65.0,42.0,nan,nan,nan,nan,nan,nan
2422442.88,29.999999999999996,65.0,42.0,nan,nan,nan,nan,nan,nan
2422442.88,29.999999999999996,65.0,42.0,nan,nan,nan,nan,nan,nan
2422442.88,29.999999999999996,65.0,42.0,nan,nan,nan,nan,nan,nan
2422442.88,29.999999999999996,65.0,42.0,nan,nan,nan,nan,nan,nan
2422442.88,31.663024135928453,67.9733976075866,42.926598671059274,nan,nan,nan,nan,nan,nan
2422442.88,29.999999999999996,65.0,42.0,nan,nan,nan,nan,nan,nan
2422442.88,29.999999999999996,65.0,42.0,nan,nan,nan,nan,nan,nan
2422442.88,30.88729273844739,66.58643163904263,42.49437903787661,nan,nan,nan,nan,nan,nan
2422442.88,30.769687489341752,66.3761597862321,42.42885210704224,nan,nan,nan,nan,nan,nan
2422442.88,30.71080448561721,66.27088014619589,42.39604385620547,nan,nan,nan,nan,nan,nan
2422442.88,29.999999999999996,65.0,42.0,nan,nan,nan,nan,nan,nan
2422442.88,31.06329981198,66.90112280921498,42.59244611754728,nan,nan,nan,nan,nan,nan
2422442.88,29.999999999999996,65.0,42.0,nan,nan,nan,nan,nan,nan
2422442.88,29.999999999999996,65.0,42.0,nan,nan,nan,nan,nan,nan
2422442.88,30.17843283791336,65.31902830626704,42.099418659604446,nan,nan,nan,nan,nan,nan
2422442.88,34.16029260687019,72.43837916532816,44.31801903379561,nan,nan,nan,nan,nan,nan
2422442.88,29.999999999999996,65.0,42.0,nan,nan,nan,nan,nan,nan
2422442.88,29.999999999999996,65.0,42.0,nan,nan,nan,nan,nan,nan
2422442.88,29.999999999999996,65.0,42.0,nan,nan,nan,nan,nan,nan
2422442.88,30.119009674593464,65.21278288995987,42.06630944430638,nan,nan,nan,nan,nan,nan
2422442.88,30.17843283791336,65.31902830626704,42.099418659604446,nan,nan,nan,nan,nan,nan
2422442.88,29.999999999999996,65.0,42.0,nan,nan,nan,nan,nan,nan
2422442.88,30.356376527556122,65.63718204176502,42.198564777080556,nan,nan,nan,nan,nan,nan
2422442.88,29.999999999999996,65.0,42.0,nan,nan,nan,nan,nan,nan
2422442.88,29.999999999999996,65.0,42.0,nan,nan,nan,nan,nan,nan
2422442.88,29.999999999999996,65.0,42.0,nan,nan,nan,nan,nan,nan
2422442.88,30.059532086890144,65.10644016578567,42.0331699049978,nan,nan,nan,nan,nan,nan
2422442.88,29.999999999999996,65.0,42.0,nan,nan,nan,nan,nan,nan
2422442.88,34.83871661989056,73.65136477008481,44.69602123791179,nan,nan,nan,nan,nan,nan
2422442.88,338.333,342.677,194.0,nan,nan,nan,nan,nan,nan
2422442.88,338.333,342.677,194.0,nan,nan,nan,nan,nan,nan
2422442.88,338.333,342.677,194.0,nan,nan,nan,nan,nan,nan
2422442.88,338.333,342.677,194.0,nan,nan,nan,nan,nan,nan
2422442.88,338.333,342.677,194.0,nan,nan,nan,nan,nan,nan
2422442.88,338.333,342.677,194.0,nan,nan,nan,nan,nan,nan
2422442.88,338.333,342.677,194.0,nan,nan,nan,nan,nan,nan
2422442.88,338.333,342.677,194.0,nan,nan,nan,nan,nan,nan
2422442.88,338.333,342.677,194.0,nan,nan,nan,nan,nan,nan
2422442.88,336.1352741844262,342.1194256486471,193.0194386346455,nan,nan,nan,nan,nan,nan
2422442.88,338.333,342.677,194.0,nan,nan,nan,nan,nan,nan
2422442.88,338.333,342.677,194.0,nan,nan,nan,nan,nan,nan
2422442.88,338.333,342.677,194.0,nan,nan,nan,nan,nan,nan
2422442.88,338.333,342.677,194.0,nan,nan,nan,nan,nan,nan
2422442.88,338.333,342.677,194.0,nan,nan,nan,nan,nan,nan
2422442.88,328.84855356194396,340.27074712115314,189.76831573664546,nan,nan,nan,nan,nan,nan
2422442.88,337.5196954074097,342.47066043868966,193.63712713564715,nan,nan,nan,nan,nan,nan
2422442.88,338.333,342.677,194.0,nan,nan,nan,nan,nan,nan
2422442.88,334.3451153044627,341.66525312665135,192.22072178693892,nan,nan,nan,nan,nan,nan
2422442.88,338.333,342.677,194.0,nan,nan,nan,nan,nan,nan
2422442.88,338.333,342.677,194.0,nan,nan,nan,nan,nan,nan
2422442.88,338.333,342.677,194.0,nan,nan,nan,nan,nan,nan
2422442.88,338.333,342.677,194.0,nan,nan,nan,nan,nan,nan
2422442.88,338.333,342.677,194.0,nan,nan,nan,nan,nan,nan
2422442.88,338.333,342.677,194.0,nan,nan,nan,nan,nan,nan
2422442.88,338.333,342.677,194.0,nan,nan,nan,nan,nan,nan
2422442.88,337.76290679591773,342.53236441979055,193.74564098641744,nan,nan,nan,nan,nan,nan
2422442.88,338.333,342.677,194.0,nan,nan,nan,nan,nan,nan
2422442.88,337.0591242074386,342.35381115464526,193.43163365621203,nan,nan,nan,nan,nan,nan
2422442.88,338.333,342.677,194.0,nan,nan,nan,nan,nan,nan
2422442.88,334.0246693588597,341.58395434088055,192.07774812220052,nan,nan,nan,nan,nan,nan
2422442.88,275.0,435.573,150.5,nan,nan,nan,nan,nan,nan
2422442.88,275.0,435.573,150.5,nan,nan,nan,nan,nan,nan
2422442.88,275.0,435.573,150.5,nan,nan,nan,nan,nan,nan
2422442.88,275.0,435.573,150.5,nan,nan,nan,nan,nan,nan
2422442.88,275.0,435.573,150.5,nan,nan,nan,nan,nan,nan
2422442.88,275.0,435.573,150.5,nan,nan,nan,nan,nan,nan
2422442.88,275.0,435.573,150.5,nan,nan,nan,nan,nan,nan
2422442.88,275.0,435.573,150.5,nan,nan,nan,nan,nan,nan
2422442.88,269.58810850077396,429.0721418112775,148.8026896460645,nan,nan,nan,nan,nan,nan
2422442.88,274.3712114165694,434.81768821812955,150.3027954970557,nan,nan,nan,nan,nan,nan
2422442.88,275.0,435.573,150.5,nan,nan,nan,nan,nan,nan
2422442.88,275.0,435.573,150.5,nan,nan,nan,nan,nan,nan
2422442.88,274.78963700058165,435.3203083066117,150.434024675652,nan,nan,nan,nan,nan,nan
2422442.88,275.0,435.573,150.5,nan,nan,nan,nan,nan,nan
2422442.88,275.0,435.573,150.5,nan,nan,nan,nan,nan,nan
2422442.88,275.0,435.573,150.5,nan,nan,nan,nan,nan,nan
2422442.88,275.0,435.573,150.5,nan,nan,nan,nan,nan,nan
2422442.88,275.0,435.573,150.5,nan,nan,nan,nan,nan,nan
2422442.88,275.0,435.573,150.5,nan,nan,nan,nan,nan,nan
2422442.88,275.0,435.573,150.5,nan,nan,nan,nan,nan,nan
2422442.88,274.78963700058165,435.3203083066117,150.434024675652,nan,nan,nan,nan,nan,nan
2422442.88,275.0,435.573,150.5,nan,nan,nan,nan,nan,nan
2422442.88,275.0,435.573,150.5,nan,nan,nan,nan,nan,nan
2422442.88,274.89472221093655,435.4465384888589,150.4669821389726,nan,nan,nan,nan,nan,nan
2422442.88,275.0,435.573,150.5,nan,nan,nan,nan,nan,nan
2422442.88,275.0,435.573,150.5,nan,nan,nan,nan,nan,nan
2422442.88,275.0,435.573,150.5,nan,nan,nan,nan,nan,nan
2422442.88,275.0,435.573,150.5,nan,nan,nan,nan,nan,nan
2422442.88,275.0,435.573,150.5,nan,nan,nan,nan,nan,nan
2422442.88,275.0,435.573,150.5,nan,nan,nan,nan,nan,nan
2422442.88,540.0,421.687,205.0,nan,nan,nan,nan,nan,nan
2422442.88,540.0,421.687,205.0,nan,nan,nan,nan,nan,nan
2422442.88,540.0,421.687,205.0,nan,nan,nan,nan,nan,nan
2422442.88,540.0,421.687,205.0,nan,nan,nan,nan,nan,nan
2422442.88,540.0,421.687,205.0,nan,nan,nan,nan,nan,nan
2422442.88,540.0,421.687,205.0,nan,nan,nan,nan,nan,nan
2422442.88,540.0,421.687,205.0,nan,nan,nan,nan,nan,nan
2422442.88,540.0,421.687,205.0,nan,nan,nan,nan,nan,nan
2422442.88,540.0,421.687,205.0,nan,nan,nan,nan,nan,nan
2422442.88,540.0,421.687,205.0,nan,nan,nan,nan,nan,nan
2422442.88,540.0,421.687,205.0,nan,nan,nan,nan,nan,nan
2422442.88,540.0,421.687,205.0,nan,nan,nan,nan,nan,nan
2422442.88,540.0,421.687,205.0,nan,nan,nan,nan,nan,nan
2422442.88,540.0,421.687,205.0,nan,nan,nan,nan,nan,nan
2422442.88,540.0,421.687,205.0,nan,nan,nan,nan,nan,nan
2422442.88,540.0,421.687,205.0,nan,nan,nan,nan,nan,nan
2422442.88,540.0,421.687,205.0,nan,nan,nan,nan,nan,nan
2422442.88,540.0,421.687,205.0,nan,nan,nan,nan,nan,nan
2422442.88,537.8414968409447,420.9812035486177,204.485554853668,nan,nan,nan,nan,nan,nan
2422442.88,538.9582839963743,421.34637531496185,204.75172343868323,nan,nan,nan,nan,nan,nan
2422442.88,540.0,421.687,205.0,nan,nan,nan,nan,nan,nan
2422442.88,540.0,421.687,205.0,nan,nan,nan,nan,nan,nan
2422442.88,540.0,421.687,205.0,nan,nan,nan,nan,nan,nan
2422442.88,540.0,421.687,205.0,nan,nan,nan,nan,nan,nan
2422442.88,532.1692194535765,419.1264584052229,203.1336571006633,nan,nan,nan,nan,nan,nan
2422442.88,538.6123133770634,421.2332483851411,204.66926680426445,nan,nan,nan,nan,nan,nan
2422442.88,540.0,421.687,205.0,nan,nan,nan,nan,nan,nan
2422442.88,540.0,421.687,205.0,nan,nan,nan,nan,nan,nan
2422442.88,540.0,421.687,205.0,nan,nan,nan,nan,nan,nan
2422442.88,540.0,421.687,205.0,nan,nan,nan,nan,nan,nan
2422442.88,540.0,421.687,205.0,nan,nan,nan,nan,nan,nan
2422442.88,220.0,341.837,200.0,nan,nan,nan,nan,nan,nan
2422442.88,220.0,341.837,200.0,nan,nan,nan,nan,nan,nan
2422442.88,220.0,341.837,200.0,nan,nan,nan,nan,nan,nan
2422442.88,220.0,341.837,200.0,nan,nan,nan,nan,nan,nan
2422442.88,220.0,341.837,200.0,nan,nan,nan,nan,nan,nan
2422442.88,220.0,341.837,200.0,nan,nan,nan,nan,nan,nan
2422442.88,220.0,341.837,200.0,nan,nan,nan,nan,nan,nan
2422442.88,220.0,341.837,200.0,nan,nan,nan,nan,nan,nan
2422442.88,220.0,341.837,200.0,nan,nan,nan,nan,nan,nan
2422442.88,220.0,341.837,200.0,nan,nan,nan,nan,nan,nan
2422442.88,220.0,341.837,200.0,nan,nan,nan,nan,nan,nan
2422442.88,220.0,341.837,200.0,nan,nan,nan,nan,nan,nan
2422442.88,219.97252365220453,341.8166656708748,199.96081552246977,nan,nan,nan,nan,nan,nan
2422442.88,220.0,341.837,200.0,nan,nan,nan,nan,nan,nan
2422442.88,220.0,341.837,200.0,nan,nan,nan,nan,nan,nan
2422442.88,220.0,341.837,200.0,nan,nan,nan,nan,nan,nan
2422442.88,220.0,341.837,200.0,nan,nan,nan,nan,nan,nan
2422442.88,220.0,341.837,200.0,nan,nan,nan,nan,nan,nan
2422442.88,220.0,341.837,200.0,nan,nan,nan,nan,nan,nan
