untreated volume,TSS in rajakaluve,COD in rajakaluve,BOD in rajakaluve,TSS in STPs effluent,COD in STPs effluent,BOD in STPs effluent,TSS in wetland outlet,COD in wetland outlet,BOD in wetland outlet,TSS in lake inflow,COD in lake inflow,BOD in lake inflow
656651.52,144.96987377923588,272.8663369744196,83.29103698609313,nan,nan,nan,0.0,0.0,0.0,144.96987377923588,272.8663369744196,83.29103698609313
656651.52,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
656651.52,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
656651.52,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
656651.52,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
656651.52,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
656651.52,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
656651.52,144.58051468145595,271.7850543132933,82.91671147569971,nan,nan,nan,0.0,0.0,0.0,144.58051468145595,271.7850543132933,82.91671147569971
656651.52,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
656651.52,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
656651.52,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
656651.52,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
656651.52,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
656651.52,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
656651.52,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
656651.52,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
656651.52,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
656651.52,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
656651.52,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
656651.52,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
656651.52,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
656651.52,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
656651.52,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
656651.52,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
656651.52,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
656651.52,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
656651.52,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
656651.52,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
656651.52,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
656651.52,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
656651.52,145.0,272.95,83.32,nan,nan,nan,0.0,0.0,0.0,145.0,272.95,83.32
656651.52,190.33,4498.42,175.86,nan,nan,nan,0.0,0.0,0.0,190.32999999999998,4498.42,175.86
656651.52,190.33,4498.42,175.86,nan,nan,nan,0.0,0.0,0.0,190.32999999999998,4498.42,175.86
656651.52,189.52976461820657,4468.2369465328875,174.7567350604372,nan,nan,nan,0.0,0.0,0.0,189.52976461820657,4468.2369465328875,174.7567350604372
656651.52,190.33,4498.42,175.86,nan,nan,nan,0.0,0.0,0.0,190.32999999999998,4498.42,175.86
656651.52,190.33,4498.42,175.86,nan,nan,nan,0.0,0.0,0.0,190.32999999999998,4498.42,175.86
656651.52,190.33,4498.42,175.86,nan,nan,nan,0.0,0.0,0.0,190.32999999999998,4498.42,175.86
656651.52,190.33,4498.42,175.86,nan,nan,nan,0.0,0.0,0.0,190.32999999999998,4498.42,175.86
656651.52,190.33,4498.42,175.86,nan,nan,nan,0.0,0.0,0.0,190.32999999999998,4498.42,175.86
656651.52,190.33,4498.42,175.86,nan,nan,nan,0.0,0.0,0.0,190.32999999999998,4498.42,175.86
656651.52,190.33,4498.42,175.86,nan,nan,nan,0.0,0.0,0.0,190.32999999999998,4498.42,175.86
656651.52,189.74358081589904,4476.301605849279,175.05151822023208,nan,nan,nan,0.0,0.0,0.0,189.74358081589904,4476.301605849279,175.05151822023208
656651.52,190.33,4498.42,175.86,nan,nan,nan,0.0,0.0,0.0,190.32999999999998,4498.42,175.86
656651.52,190.33,4498.42,175.86,nan,nan,nan,0.0,0.0,0.0,190.32999999999998,4498.42,175.86
656651.52,190.33,4498.42,175.86,nan,nan,nan,0.0,0.0,0.0,190.32999999999998,4498.42,175.86
656651.52,190.33,4498.42,175.86,nan,nan,nan,0.0,0.0,0.0,190.32999999999998,4498.42,175.86
656651.52,190.33,4498.42,175.86,nan,nan,nan,0.0,0.0,0.0,190.32999999999998,4498.42,175.86
656651.52,190.33,4498.42,175.86,nan,nan,nan,0.0,0.0,0.0,190.32999999999998,4498.42,175.86
656651.52,190.33,4498.42,175.86,nan,nan,nan,0.0,0.0,0.0,190.32999999999998,4498.42,175.86
656651.52,190.33,4498.42,175.86,nan,nan,nan,0.0,0.0,0.0,190.32999999999998,4498.42,175.86
656651.52,190.33,4498.42,175.86,nan,nan,nan,0.0,0.0,0.0,190.32999999999998,4498.42,175.86
656651.52,190.33,4498.42,175.86,nan,nan,nan,0.0,0.0,0.0,190.32999999999998,4498.42,175.86
656651.52,190.33,4498.42,175.86,nan,nan,nan,0.0,0.0,0.0,190.32999999999998,4498.42,175.86
656651.52,190.33,4498.42,175.86,nan,nan,nan,0.0,0.0,0.0,190.32999999999998,4498.42,175.86
656651.52,190.33,4498.42,175.86,nan,nan,nan,0.0,0.0,0.0,190.32999999999998,4498.42,175.86
656651.52,190.33,4498.42,175.86,nan,nan,nan,0.0,0.0,0.0,190.32999999999998,4498.42,175.86
656651.52,190.33,4498.42,175.86,nan,nan,nan,0.0,0.0,0.0,190.32999999999998,4498.42,175.86
656651.52,190.33,4498.42,175.86,nan,nan,nan,0.0,0.0,0.0,190.32999999999998,4498.42,175.86
656651.52,190.33,4498.42,175.86,nan,nan,nan,0.0,0.0,0.0,190.32999999999998,4498.42,175.86
