TSS,COD,BOD,nitrate,TN,ammonia,phosphate,TP
21.750000000000004,38.213,4.999200000000004,0.9,3.0319999999999983,34.6,3.4,4.77
21.750000000000004,38.213,4.999200000000004,0.9,3.0319999999999983,34.6,3.4,4.77
21.750000000000004,38.213,4.999200000000004,0.9,3.0319999999999983,34.6,3.4,4.77
21.750000000000004,38.213,4.999200000000004,0.9,3.0319999999999983,34.6,3.4,4.77
21.750000000000004,38.213,4.999200000000004,0.9,3.0319999999999983,34.6,3.4,4.77
21.750000000000004,38.213,4.999200000000004,0.9,3.0319999999999983,34.6,3.4,4.77
21.750000000000004,38.213,4.999200000000004,0.9,3.0319999999999983,34.6,3.4,4.77
21.750000000000004,38.213,4.999200000000004,0.9,3.0319999999999983,34.6,3.4,4.77
21.750000000000004,38.213,4.999200000000004,0.9,3.0319999999999983,34.6,3.4,4.77
21.750000000000004,38.213,4.999200000000004,0.9,3.0319999999999983,34.6,3.4,4.77
21.750000000000004,38.213,4.999200000000004,0.9,3.0319999999999983,34.6,3.4,4.77
21.750000000000004,38.213,4.999200000000004,0.9,3.0319999999999983,34.6,3.4,4.77
21.750000000000004,38.213,4.999200000000004,0.9,3.0319999999999983,34.6,3.4,4.77
21.750000000000004,38.213,4.999200000000004,0.9,3.0319999999999983,34.6,3.4,4.77
21.750000000000004,38.213,4.999200000000004,0.9,3.0319999999999983,34.6,3.4,4.77
21.750000000000004,38.213,4.999200000000004,0.9,3.0319999999999983,34.6,3.4,4.77
21.750000000000004,38.213,4.999200000000004,0.9,3.0319999999999983,34.6,3.4,4.77
21.750000000000004,38.213,4.999200000000004,0.9,3.0319999999999983,34.6,3.4,4.77
21.750000000000004,38.213,4.999200000000004,0.9,3.0319999999999983,34.6,3.4,4.77
21.750000000000004,38.213,4.999200000000004,0.9,3.0319999999999983,34.6,3.4,4.77
21.750000000000004,38.213,4.999200000000004,0.9,3.0319999999999983,34.6,3.4,4.77
21.750000000000004,38.213,4.999200000000004,0.9,3.0319999999999983,34.6,3.4,4.77
21.750000000000004,38.213,4.999200000000004,0.9,3.0319999999999983,34.6,3.4,4.77
21.750000000000004,38.213,4.999200000000004,0.9,3.0319999999999983,34.6,3.4,4.77
