untreated volume,TSS in rajakaluve,COD in rajakaluve,BOD in rajakaluve,TSS in STPs effluent,COD in STPs effluent,BOD in STPs effluent,TSS in lake inflow,COD in lake inflow,BOD in lake inflow
4633966.08,105.0,132.5,73.0,nan,nan,nan,nan,nan,nan
4633966.08,105.0,132.5,73.0,nan,nan,nan,nan,nan,nan
4633966.08,105.0,132.5,73.0,nan,nan,nan,nan,nan,nan
4633966.08,105.0,132.5,73.0,nan,nan,nan,nan,nan,nan
4633966.08,105.0,132.5,73.0,nan,nan,nan,nan,nan,nan
4633966.08,105.0,132.5,73.0,nan,nan,nan,nan,nan,nan
4633966.08,105.0,132.5,73.0,nan,nan,nan,nan,nan,nan
4633966.08,30.0,65.0,42.0,nan,nan,nan,nan,nan,nan
4633966.08,30.0,65.0,42.0,nan,nan,nan,nan,nan,nan
4633966.08,30.0,65.0,42.0,nan,nan,nan,nan,nan,nan
4633966.08,30.0,65.0,42.0,nan,nan,nan,nan,nan,nan
4633966.08,30.0,65.0,42.0,nan,nan,nan,nan,nan,nan
4633966.08,31.733956613933447,68.1002210588184,42.96612061090032,nan,nan,nan,nan,nan,nan
4633966.08,30.0,65.0,42.0,nan,nan,nan,nan,nan,nan
4633966.08,30.0,65.0,42.0,nan,nan,nan,nan,nan,nan
4633966.08,30.985149405619605,66.76139409074139,42.5489025145942,nan,nan,nan,nan,nan,nan
4633966.08,30.854659707950624,66.5280855376776,42.47619666635375,nan,nan,nan,nan,nan,nan
4633966.08,30.789315822978537,66.41125418986438,42.439788561583114,nan,nan,nan,nan,nan,nan
4633966.08,30.0,65.0,42.0,nan,nan,nan,nan,nan,nan
4633966.08,31.180390270169593,67.11047424358713,42.65768621876303,nan,nan,nan,nan,nan,nan
4633966.08,30.0,65.0,42.0,nan,nan,nan,nan,nan,nan
4633966.08,30.0,65.0,42.0,nan,nan,nan,nan,nan,nan
4633966.08,30.198231652165806,65.35442752006041,42.1104501020102,nan,nan,nan,nan,nan,nan
4633966.08,34.438785439114234,72.9363093536126,44.47318881316432,nan,nan,nan,nan,nan,nan
4633966.08,30.0,65.0,42.0,nan,nan,nan,nan,nan,nan
4633966.08,30.0,65.0,42.0,nan,nan,nan,nan,nan,nan
