Date;TSS;BOD;COD;NO3-N;Nitrate;NH4-N;TN;PO4-P;TP
13-août;98.7;26.11;130.13;N/A;13.46;1.12;9.06;0.91;1.86
14-août;98.7;26.11;130.13;N/A;13.46;1.12;9.06;0.91;1.86
15-août;98.7;26.11;130.13;N/A;13.46;1.12;9.06;0.91;1.86
16-août;98.7;26.11;130.13;N/A;13.46;1.12;9.06;0.91;1.86
17-août;98.7;26.11;130.13;N/A;13.46;1.12;9.06;0.91;1.86
18-août;98.7;26.11;130.13;N/A;13.46;1.12;9.06;0.91;1.86
19-août;98.7;26.11;130.13;N/A;13.46;1.12;9.06;0.91;1.86
20-août;98.7;26.11;130.13;N/A;13.46;1.12;9.06;0.91;1.86
21-août;98.7;26.11;130.13;N/A;13.46;1.12;9.06;0.91;1.86
22-août;98.7;26.11;130.13;N/A;13.46;1.12;9.06;0.91;1.86
23-août;98.7;26.11;130.13;N/A;13.46;1.12;9.06;0.91;1.86
24-août;98.7;26.11;130.13;N/A;13.46;1.12;9.06;0.91;1.86
25-août;98.7;26.11;130.13;N/A;13.46;1.12;9.06;0.91;1.86
26-août;98.7;26.11;130.13;N/A;13.46;1.12;9.06;0.91;1.86
27-août;98.7;26.11;130.13;N/A;13.46;1.12;9.06;0.91;1.86
28-août;98.7;26.11;130.13;N/A;13.46;1.12;9.06;0.91;1.86
29-août;98.7;26.11;130.13;N/A;13.46;1.12;9.06;0.91;1.86
30-août;98.7;26.11;130.13;N/A;13.46;1.12;9.06;0.91;1.86
31-août;98.7;26.11;130.13;N/A;13.46;1.12;9.06;0.91;1.86
1-sept.;54;24.31;106.8333333;2.941287879;12.92833333;1.486666667;6.45;2.076666667;2.665
2-sept.;54;24.31;106.8333333;2.941287879;12.92833333;1.486666667;6.45;2.076666667;2.665
3-sept.;54;24.31;106.8333333;2.941287879;12.92833333;1.486666667;6.45;2.076666667;2.665
4-sept.;54;24.31;106.8333333;2.941287879;12.92833333;1.486666667;6.45;2.076666667;2.665
5-sept.;54;24.31;106.8333333;2.941287879;12.92833333;1.486666667;6.45;2.076666667;2.665
6-sept.;54;24.31;106.8333333;2.941287879;12.92833333;1.486666667;6.45;2.076666667;2.665
7-sept.;54;24.31;106.8333333;2.941287879;12.92833333;1.486666667;6.45;2.076666667;2.665
8-sept.;54;24.31;106.8333333;2.941287879;12.92833333;1.486666667;6.45;2.076666667;2.665
9-sept.;54;24.31;106.8333333;2.941287879;12.92833333;1.486666667;6.45;2.076666667;2.665
10-sept.;54;24.31;106.8333333;2.941287879;12.92833333;1.486666667;6.45;2.076666667;2.665
11-sept.;54;24.31;106.8333333;2.941287879;12.92833333;1.486666667;6.45;2.076666667;2.665
12-sept.;54;24.31;106.8333333;2.941287879;12.92833333;1.486666667;6.45;2.076666667;2.665
13-sept.;54;24.31;106.8333333;2.941287879;12.92833333;1.486666667;6.45;2.076666667;2.665
