ID,name,tank_wsarea,tank_sewvol,tank_vopen,tank_evvol,tank_revol,spill,tank_uspill,tank_crunvol,tank_rajkalve,tank_inflow,tank_usdivert,tank_vclose,tank_stp,DS_tank,divert,treated
5,Vinayak,62.0,1418.496,62.0,0.434,0.186,0,0,679.26235125,707.63227125,707.63227125,0,769.01227125,0,12,n,0.98
5,Vinayak,19915.58290330635,1418.496,769.01227125,139.40908032314445,59.746748709919046,0,0,0.0,28.369920000000025,28.369920000000025,0,598.2263622169364,0,12,n,0.98
5,Vinayak,17701.168597086275,1418.496,598.2263622169364,123.90818017960392,53.103505791258826,0,0,0.0,28.369920000000025,28.369920000000025,0,449.58459624607366,0,12,n,0.98
5,Vinayak,15480.214247210444,1418.496,449.58459624607366,108.36149973047311,46.440642741631336,0,0,0.0,28.369920000000025,28.369920000000025,0,323.15237377396926,0,12,n,0.98
5,Vinayak,13257.757503763598,1418.496,323.15237377396926,92.80430252634518,39.77327251129079,0,0,0.0,28.369920000000025,28.369920000000025,0,218.94471873633333,0,12,n,0.98
5,Vinayak,11043.722544015334,1418.496,218.94471873633333,77.30605780810734,33.131167632046,0,0,0.0,28.369920000000025,28.369920000000025,0,136.87741329618,0,12,n,0.98
5,Vinayak,8858.629748045898,1418.496,136.87741329618,62.01040823632129,26.575889244137695,0,0,0.0,28.369920000000025,28.369920000000025,0,76.66103581572105,0,12,n,0.98
5,Vinayak,76.66103581572105,1418.496,76.66103581572105,0.5366272507100474,0.22998310744716316,0,0,9509.6729175,9538.0428375,9538.0428375,0,9613.937262957563,0,12,n,0.98
5,Vinayak,65171.30949232218,1418.496,9613.937262957563,456.1991664462553,195.51392847696656,0,0,0.0,28.369920000000025,28.369920000000025,0,8990.59408803434,0,12,n,0.98
5,Vinayak,63152.75067504642,1418.496,8990.59408803434,442.069254725325,189.45825202513927,0,0,0.0,28.369920000000025,28.369920000000025,0,8387.436501283875,0,12,n,0.98
5,Vinayak,61127.55649987109,1418.496,8387.436501283875,427.8928954990976,183.38266949961329,0,0,0.0,28.369920000000025,28.369920000000025,0,7804.530856285163,0,12,n,0.98
5,Vinayak,59095.52272947832,1418.496,7804.530856285163,413.66865910634823,177.28656818843496,0,0,0.0,28.369920000000025,28.369920000000025,0,7241.94554899038,0,12,n,0.98
5,Vinayak,57056.43425963617,1418.496,7241.94554899038,399.39503981745315,171.1693027789085,0,0,0.0,28.369920000000025,28.369920000000025,0,6699.751126394019,0,12,n,0.98
5,Vinayak,55010.064488084456,1418.496,6699.751126394019,385.0704514165912,165.03019346425336,0,0,0.0,28.369920000000025,28.369920000000025,0,6178.020401513175,0,12,n,0.98
5,Vinayak,52956.1746997057,1418.496,6178.020401513175,370.6932228979399,158.8685240991171,0,0,0.0,28.369920000000025,28.369920000000025,0,5676.828574516118,0,12,n,0.98
5,Vinayak,50894.51349924302,1418.496,5676.828574516118,356.2615944947011,152.68354049772907,0,0,0.0,28.369920000000025,28.369920000000025,0,5196.253359523688,0,12,n,0.98
5,Vinayak,48824.81633913322,1418.496,5196.253359523688,341.77371437393253,146.47444901739965,0,0,0.0,28.369920000000025,28.369920000000025,0,4736.375116132356,0,12,n,0.98
5,Vinayak,46746.80521439319,1418.496,4736.375116132356,327.22763650075234,140.24041564317957,0,0,0.0,28.369920000000025,28.369920000000025,0,4297.276983988425,0,12,n,0.98
5,Vinayak,44660.188633206075,1418.496,4297.276983988425,312.62132043244253,133.98056589961823,0,0,0.0,28.369920000000025,28.369920000000025,0,3879.045017656364,0,12,n,0.98
5,Vinayak,42564.662027692146,1418.496,3879.045017656364,297.95263419384503,127.69398608307644,0,0,0.0,28.369920000000025,28.369920000000025,0,3481.7683173794426,0,12,n,0.98
5,Vinayak,40459.908855285605,1418.496,3481.7683173794426,283.2193619869992,121.37972656585681,0,0,0.0,28.369920000000025,28.369920000000025,0,3105.539148826587,0,12,n,0.98
5,Vinayak,38345.60277521612,1418.496,3105.539148826587,268.4192194265128,115.03680832564835,0,0,0.0,28.369920000000025,28.369920000000025,0,2750.4530410744255,0,12,n,0.98
5,Vinayak,36221.411497115165,1418.496,2750.4530410744255,253.54988047980615,108.6642344913455,0,0,0.0,28.369920000000025,28.369920000000025,0,2416.608846103274,0,12,n,0.98
5,Vinayak,34087.003241780425,1418.496,2416.608846103274,238.609022692463,102.26100972534128,0,0,0.0,28.369920000000025,28.369920000000025,0,2104.10873368547,0,12,n,0.98
5,Vinayak,31942.05731934374,1418.496,2104.10873368547,223.5944012354062,95.82617195803122,0,0,0.0,28.369920000000025,28.369920000000025,0,1813.0580804920326,0,12,n,0.98
5,Vinayak,29786.28128370321,1418.496,1813.0580804920326,208.50396898592248,89.35884385110964,0,0,0.0,28.369920000000025,28.369920000000025,0,1543.5651876550005,0,12,n,0.98
5,Vinayak,27619.43877504412,1418.496,1543.5651876550005,193.33607142530886,82.85831632513236,0,0,0.0,28.369920000000025,28.369920000000025,0,1295.7407199045595,0,12,n,0.98
5,Vinayak,25441.395117533837,1418.496,1295.7407199045595,178.08976582273687,76.32418535260152,0,0,0.0,28.369920000000025,28.369920000000025,0,1069.6966887292213,0,12,n,0.98
5,Vinayak,23252.19321448475,1418.496,1069.6966887292213,162.76535250139324,69.75657964345424,0,0,0.0,28.369920000000025,28.369920000000025,0,865.544676584374,0,12,n,0.98
5,Vinayak,21052.18285422337,1418.496,865.544676584374,147.3652799795636,63.15654856267011,0,0,0.0,28.369920000000025,28.369920000000025,0,683.3927680421402,0,12,n,0.98
